area,name,address,phoneNumber,businessHours,priceType3,priceType2,priceType1,toiletYn,"
BreakfastYn",partyYn,Subtitle,naverlink,url1,url2
성산,썬시티 게스트하우스,제주 서귀포시 성산읍 한도로 120,0507-1324-5910,"입실 16:00
퇴실 10:00","20,000~25,000","60,000",X,X,X,O,성산일출봉과 우도 근처 게스트하우스,http://naver.me/FLBKK7wb,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211114_101%2F1636874201256XIU0y_JPEG%2F3E4915B8-F531-4F46-A003-EE504DED17C5.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210407_64%2F1617798532858DpHHr_JPEG%2FKakaoTalk_20210407_212520386_01.jpg
제주시,세화 온게스트하우스,제주 제주시 구좌읍 세화11길 18,010-3417-3335,"입실 17:00
퇴실 11:00","28,000","60,000","50,000",X,X,X,정원 11명의 소규모 인원이 묵는 감성적인 대화가 가능한 게스트하우스,http://naver.me/G2UVe97x,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210810_113%2F1628557236085xAaYv_JPEG%2F2YLigd-P7eyCVmBWBZUW80XT.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210302_295%2F1614688582774m0VjK_JPEG%2F1%25C0%25CE%25BD%25C7.jpeg
한림/협재,1미리 게스트하우스,제주 제주시 한림읍 협재6길 22-4,010-6566-6446,"입실 17:00
퇴실 11:00","35,000","75,000","45,000",X,X,X,협재 해수욕장 근처 고양이들이 많은 게스트하우스,http://naver.me/5HSEiEil,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211213_293%2F1639386864665SzVOq_JPEG%2FKakaoTalk_20211213_175655854_05.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211213_16%2F1639386865966u98R7_JPEG%2FKakaoTalk_20211213_175655854_25.jpg
한림/협재,동행in협재,제주 제주시 한림읍 협재1길 27 1층 동행in협재,0507-1393-3556,"입실 16:00
퇴실 10:00","30,000","80,000~90,000",X,X,X,X,21년에 오픈한 협재 해수욕장 근처 조용한 숙소,http://naver.me/Fsl6a7eZ,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210429_122%2F1619622791925tGTCm_JPEG%2FBDseq3fc6K36znMVmfkbxBun.jpg,https://naverbooking-phinf.pstatic.net/20210416_28/1618557911487imhCY_JPEG/E6525989-CBB5-4326-A45F-B6246F7AFF6C-23218-00000A717BEB4B4D.jpg
한림/협재,호랑이주택,제주 제주시 한림읍 명랑남길 17,0507-1310-5321,"입실 16:00
퇴실 10:00","25,000","40,000","45,000",X,X,X,분위기 있는 인테리어와 조명이 인상적인 게스트하우스,http://naver.me/FT0knM48,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180501_157%2F15251437223616SBe6_JPEG%2FcBaH3F6PDAsS2_MbF4FlWWpe.jpg,https://naverbooking-phinf.pstatic.net/20200603_221/1591113321054fdcUa_JPEG/IMG_3178.jpg
애월,제주도 애월 파티하는 오누 게스트하우스,제주 제주시 애월읍 애월로2길 7 1층 오누게스트하우스,0507-1307-3614,"입실 17:00
퇴실 11:30","25,000","60,000",X,X,X,O,스트릿패션과 힙합을 좋아하는 혼행자에게 최적의 숙소,http://naver.me/5Y1q82IA,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200331_21%2F1585635948671oeSxE_JPEG%2FKakaoTalk_20200330_212259110_01.jpg,https://naverbooking-phinf.pstatic.net/20180405_235/1522860190513wjnih_JPEG/07.jpg
애월,카프리애월 민박,제주 제주시 애월읍 애월로4길 18,0507-1353-7978,"입실 17:00
퇴실 10:00","25,000~30,000","75,000~80,000",X,X,X,O,이자카야 느낌의 안주를 맛볼 수 있는 게하 파티,http://naver.me/GNyUOLau,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220615_202%2F1655300515222RaJdW_JPEG%2FKakaoTalk_20220615_222122654_02.jpg,https://naverbooking-phinf.pstatic.net/20171228_245/151445867263194EQo_JPEG/KakaoTalk_Moim_72CMPAqLFULIPaTMoHAssX3n5YGhgd.jpg
함덕/구좌,꼬르동게스트하우스,제주 제주시 조천읍 함덕29길 25-4 꼬르동게스트하우스,0507-1313-5438,"입실 17:00
퇴실 11:00","35,000",X,X,X,X,X,소규모로 운영되어 조용한 이야기를 나눌 수 있는 게하,http://naver.me/5Amce1RI,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200926_22%2F1601093541692I63Jy_JPEG%2Fimage.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200923_114%2F1600845913519YUG6a_JPEG%2Fimage.jpg
함덕/구좌,함덕 조용한 게스트하우스,제주 제주시 조천읍 함덕14길 28-2,010-4332-5794,"입실 17:00
퇴실 11:00","35,000","75,000",X,X,X,X,밤 9시에서 11시까지 게스트들끼리 이야기를 나누는 문화가 있는 게하,http://naver.me/IDB1O54f,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200719_131%2F1595143663168SPyIU_JPEG%2F4VxCdjL2rtHAvTNONkZkhewF.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200719_230%2F1595143685946mOqan_JPEG%2Fh0dULEcSWjSHShxP00NcHkRo.jpg
함덕/구좌,바바호미 게스트하우스,제주 제주시 조천읍 함덕서4길 60-21,010-4256-0956,"입실 17:00
퇴실 11:00",X,"65,000~70,000","40,000",O,X,X,함덕 근처 파티없는 아늑한 숙소,http://naver.me/IFjFSXXD,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190411_193%2F1554985287311mVWBk_JPEG%2FIMG_3993.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190401_105%2F1554126991600KnrhO_JPEG%2F4VgMWzrA2VUoCmB8Wv7TFZMf.jpg
함덕/구좌,함덕 촌따이 게스트하우스,제주 제주시 조천읍 함덕30길 20-13,010-2848-2722,"입실 16:00
퇴실 11:00","28,000","56,000",X,O,O,X,함덕 해수욕장 근처 여성 전용 게스트하우스,http://naver.me/FNmKqqlA,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210129_86%2F16119110513373jdnp_JPEG%2F%25BF%25DC%25B0%25E6.jpg,https://naverbooking-phinf.pstatic.net/20220425_40/16508670777849GWdu_JPEG/KakaoTalk_20220425_150705228.jpg
함덕/구좌,무거 오션뷰펜션카라반,제주 제주시 조천읍 조함해안로 356,010-6260-9737,"입실 15:00
퇴실 11:00","80,000","120,000","180,000",O,X,바베큐 인당 2만원,함덕 바다 옆에서 즐기는 야영,http://www.moogerpension.com,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220629_276%2F1656481075412lr4Vl_JPEG%2Fimage.jpgg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220629_55%2F1656481079320QJjlW_JPEG%2Fimage.jpg
