area,name,address,phoneNumber,businessHours,price,servingSize,classification,note,Subtitle,naverlink,url1,url2,
한림/협재,리브와일드 바앤키친,제주 제주시 한림읍 협재4길 7-8,0507-1312-1768,"월
정기휴무 (매주 월요일)
화
11:00 - 23:00
15:00 - 18:00 브레이크타임
14:00 라스트오더
수
11:00 - 23:00
15:00 - 18:00 브레이크타임
14:00 라스트오더
목
11:00 - 23:00
15:00 - 18:00 브레이크타임
14:00 라스트오더
금
11:00 - 23:00
15:00 - 18:00 브레이크타임
14:00 라스트오더
토
11:00 - 23:00
15:00 - 18:00 브레이크타임
14:00 라스트오더
일
11:00 - 23:00
15:00 - 18:00 브레이크타임
14:00 라스트오더","21,000",가능,양식,전화예약,협재해수욕장 근처 로제파스타와 트러플 리조또가 맛있는 곳,https://naver.me/xNdl999f,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200504_39%2F1588573069813Fxf0v_JPEG%2FoSF6RjOxZ_gzlBv1cYkBmO3c.jpg.,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200503_150%2F1588511413248gJqCc_JPEG%2Fimage.jpg ,
한림/협재,협재이길,제주 제주시 한림읍 협재2길 14 1층,0507-1398-0418,"월
10:00 - 19:00
18:30 라스트오더
화
10:00 - 19:00
18:30 라스트오더
수
10:00 - 19:00
18:30 라스트오더
목
10:00 - 19:00
18:30 라스트오더
금
10:00 - 23:00
22:30 라스트오더
토
10:00 - 23:00
22:30 라스트오더
일
정기휴무 (매주 일요일)
","15,000",가능,양식,"소형견 캐리어 동반
매장출입가능",협재에서 브런치를 즐길 수 있는 곳,https://naver.me/5VeAWyOF,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220513_141%2F1652442394998Ikjfb_JPEG%2F1AD48E45-3826-419E-9C7A-98603DD0FBBE.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211124_37%2F1637762643602locEv_JPEG%2FD5305456-029C-45E8-9EFD-995487A2995B.jpeg,
한림/협재,문쏘,제주 제주시 한림읍 한림상로 15-5 문쏘 제주협재점,0507-1350-7935,"월
10:30 - 20:20
화
10:30 - 20:20
수
10:30 - 20:20
목
10:30 - 20:20
금
10:30 - 20:20
토
10:30 - 20:20
일
10:30 - 20:20
접기","15,000",가능,양식,애견 동반가능,황게가 들어간 군침도는 협재 카레집,https://naver.me/5JJQJmdv,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211025_74%2F1635136203380gOqxP_JPEG%2FfzRbBIPsbWcCHMAnbxJiyijx.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181214_176%2F1544773600843WWxHc_JPEG%2FPbYMVo-Its7qKyRyERZlMI66.jpg,
서귀포/중문,환이네 이태리식당,제주 서귀포시 안덕면 사계중앙로18번길 5 환이네 이태리식당,070-7788-8686,"월
정기휴무 (매주 월요일)
화
정기휴무 (매주 화요일)
수
11:30 - 21:00
15:00 - 17:30 브레이크타임
목
11:30 - 21:00
15:00 - 17:30 브레이크타임
금
11:30 - 21:00
15:00 - 17:30 브레이크타임
토
11:30 - 21:00
15:00 - 17:30 브레이크타임
일
11:30 - 21:00
15:00 - 17:30 브레이크타임
- 점심 재료 소진 시, 브레이크타임이 시작됩니다.","17,000",가능,양식,,명란 오일 파스타와 뇨끼가 맛있는 제주 파스타 맛집,https://naver.me/xGOiXEZE,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190408_60%2F15547240421577bJQv_JPEG%2FNkoh0Q10C11jt4XRDe1FIEyE.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210123_73%2F1611407204116ysPsr_JPEG%2Ft7o7Y_PBIZKYPJpZ6DPPXckx.jpg,
제주시,헤이샐러드,제주 제주시 연동12길 28-13 1층,010-9223-7747,"월
11:00 - 15:00
14:30 라스트오더
화
정기휴무 (매주 화요일)
수
11:00 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더
목
11:00 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더
금
11:00 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더
토
11:00 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더
일
11:00 - 20:00
15:00 - 17:00 브레이크타임
14:30, 19:30 라스트오더
접기","11,000",가능,기타,,혼자 가볍게 샐러드를 즐길 수 있는 곳,https://naver.me/GaMTM1gD,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220709_288%2F1657336357763mC7gM_JPEG%2F4FECFC31-291C-4B57-9330-AAA7570FEF3B.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220619_54%2F1655614711167OlbiC_JPEG%2F6A6EA43B-A4B0-4FFE-8978-87C2F9AF2AFD.jpeg,
제주시,비오는날의숲,제주 제주시 조천읍 신촌북3길 1,0507-1323-9226,당분간 영업 중단,"15,000",가능,양식,,비건 미트볼과 파스타를 즐길 수 있는 양식집,https://naver.me/IgTD03li,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210514_172%2F1620942734930V3YsD_JPEG%2FBTnXjF_XDh15hqgxkhAb-vIU.jpeg.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210514_11%2F1620942812538ktomD_JPEG%2Fnx1N3G711MvWnah-N1ywcHiv.jpeg.jpg,
제주시,뚱보조개,제주 제주시 서광로28길 53,064-752-0575,매일 15:00 - 23:50,"49,000",가능,한식,,제주공항 근처 조개구이가 맛있는 집,http://naver.me/GZAjxb5i,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210507_291%2F16203976726517pYEC_JPEG%2Fp-tnAs08KIiyuB1ePpUGZqRw.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190520_251%2F1558329855226Ie4wh_JPEG%2F%25B6%25D7%25BA%25B8%25C1%25B6%25B0%25B3_%25C1%25B6%25B0%25B3%25B1%25B8%25C0%25CC%25BB%25E7%25C1%25F8.jpg,
제주시,참녀네집,제주 제주시 구좌읍 김녕리 6145,064-782-8884,매일 10:00 - 17:30,"11,000",가능,한식,,진한 전복죽이 인상깊었던 집,http://naver.me/Gcjniqws,,,
서귀포/중문,테왁,제주 서귀포시 서호남로32번길 10-4,064-739-1562,매일 11:00 - 16:00 일요일 정기휴무,"14,000",가능,한식,,하루 10개만 판매하는 돌문어비빔밥이 유명한 곳,http://naver.me/5MUSfLng,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210716_259%2F16264006479756Qcap_JPEG%2FbHz10i-4QgO-uZbKPo1KtNER.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210716_229%2F1626400163209kjg8i_JPEG%2FDVCLgW2M_kh9P9YJXehOiAU7.jpg,
제주시,정실금수강산,제주 제주시 아연로 124-23 정실금수강산,0507-1337-6926,"매일 9:00 - 21:00
브레이크타임 16:00 - 17:00","15,000",가능,한식,,상다리 부러지는 간장게장정식이 먹고 싶을때 찾는 곳,http://naver.me/x0MKwYPq,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220304_15%2F1646400441331jWUG5_JPEG%2FDSC06089.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220304_183%2F1646400422035sQeky_JPEG%2FDSC06004.jpg,
제주시,소렉,제주 제주시 은남2길 41 1층,0507-1407-9015,"매주 화요일 휴무 
월,금,토,일: 17:00 - 22:00 
수,목: 18:00 - 22:00","50,000",가능,양식,100% 예약제,프리미엄 송아지 고기와 랍스터가 맛있는 곳,http://naver.me/xtW5KgYi,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190316_187%2F1552721702908u4UlI_JPEG%2FwWh1ne4gKUEM_K5elI77xYT6.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190112_145%2F15472745076514FxNJ_JPEG%2FCqLRjDdsuG9z5Q4JR3503PRd.jpg,
제주시,섬고래,제주 제주시 한림읍 금능길 65 1층,0507-1332-5481,"수,목 05:20 - 23:00
22:00 라스트오더
금,토,일,월,화
12:00 - 23:00
15:00 - 17:20 브레이크타임","20,000",가능,일식,,한림 금능 술 한잔 하기 좋은 분위기 있는 술집,http://naver.me/xYQ9q6pS,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210901_134%2F1630486909986CWq1R_JPEG%2FNcYZ2uCdymX3XKuVPumpH_Wv.jpeg.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210901_101%2F1630487104766BLfho_JPEG%2FR1QjP8M4BVauElEVjzxfZ8r3.jpeg.jpg,
제주시,마루나키친,제주 제주시 한경면 금등4길 11 마루나키친,0507-1372-0488,"매주 목요일 휴무 
매일 11:00 - 19:30 ","17,000",가능,일식,,딱새우장이 기가 막히는 제주도 서쪽 한경면,http://naver.me/x2Pkkpnh,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220503_161%2F1651504108050OYfm8_JPEG%2F5EEF96E6-36CF-4F0D-8BFB-2A922F540544.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210416_42%2F16185359143020VBpQ_JPEG%2FTDe5VvevJ884znqEfP2akAsF.jpg,
서귀포/중문,영육일삼,제주 서귀포시 이어도로 679 1층,0507-1329-9492,"매주 화,수 휴무 
월,목,금,토,일
11:30 - 19:30
14:30 - 17:30 브레이크타임
14:00, 19:00 라스트오더","16,000",가능,일식,,서귀포 돈까스로 유명한 제주 강정동 맛집,http://naver.me/GPrXKRM4,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190104_12%2F15466066015674l7MJ_JPEG%2FEF1bv_N-Dtrfir2JPjtCGH6r.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181111_222%2F1541869407591BVIVm_JPEG%2FaS54WS8rCmeBNsOPjLb7P6Sc.jpg,
서귀포/중문,제주약수터,제주 서귀포시 중앙로 35 1층,0507-1323-6572,"매일 18:00 - 24:00
23:30 라스트오더","23,000",가능,양식,,제주수제맥주를 무료 시음할 수 있으며 찢은 고기와 빵이 맛있는 곳,http://naver.me/F9QpVKGZ,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181222_264%2F1545424562916twClL_JPEG%2FBFITdJB_m0SdocUFwMw5de-j.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220429_278%2F16511595881692y2Ij_PNG%2F1651158827691.png,
서귀포/중문,동선제면가,제주 서귀포시 남원읍 태위로 3 1층,064-764-5555,"매주 수요일 휴무.
그 외 11:00 - 20:00
15:30 - 17:00 브레이크타임
19:00 라스트오더","16,000",가능,한식,,담백하고 맛있는 몰망국수,http://naver.me/5JJQS6yK,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200402_112%2F1585828126208iN2Rg_JPEG%2FN7j85SkgQGNbsJD4yteKl1C3.jpeg.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200402_177%2F15858280828280Betn_JPEG%2FTWXtn28HMDfF9pMePQuG0NfF.jpeg.jpg,
제주시,회춘,제주 제주시 조천읍 신북로 489,0507-1336-0853,"매일 10:30 - 21:30
15:30 - 17:00 브레이크타임
20:00 라스트오더","15,000","1인 주문 시 3,000원 추가금",한식,,두툼한 두께의 고등어 김치찜 정식을 즐길 수 있는 곳,http://naver.me/GGh8TKKf,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_229%2F1592381108930AO95d_JPEG%2F6dQJdl1nEbn-b-G3EwYKfII0.JPG.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_154%2F1592381113058c8iRw_JPEG%2F-e5C9Pm2Kg2EOaChZp_aCQwt.JPG.jpg,
서귀포/중문,베메로 bake make roast,제주 서귀포시 중문관광로72번길 29-9 신우성타운 내 라동,064-738-7832,"매일 9:00 - 21:00
20:50 라스트오더","10,000",가능,기타,,아보카도 에그 베이글과 샌드위치가 맛있는 중문 신상 카페,http://naver.me/xlW1gueE,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220701_205%2F16566655780093AMna_JPEG%2FKakaoTalk_Image_2022-07-01-17-21-42_005.jpeg,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210608_132%2F1623127573455HPSux_JPEG%2FuHQvd4MkYE3OVn6xikymnV8g.jpg
서귀포/중문,제주한라국수,제주 서귀포시 천제연로188번길 17,064-738-6392,"매일 8:00 - 20:00
라스트오더 19:30","9,000",가능,한식,,해장으로 딱 좋은 고기국수와 국밥집,http://naver.me/FeOXtJt9,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210712_7%2F16260723752672lh3s_JPEG%2F1u-evK5K9P4r6qQxTL1Ci3YN.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210712_137%2F1626072376052FG8pB_JPEG%2FVsZcp25USvV3oBrMraDWOgd-.jpg,
애월,골목카페옥수,제주 제주시 애월읍 소길1길 19 골목카페옥수,0507-1318-6516,"매주 금요일 휴무 
그 외 11:00 - 18:00","6,500",가능,카페,,제주도 애월 소길리에서 만나는 제주감성 레트로카페,http://naver.me/58HFHejm,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210713_199%2F1626138717818P4Drk_JPEG%2F4zad6-aeVkuyIxinzhwBckRm.jpeg.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_38%2F1582791312941RXYM7_JPEG%2FJmlqbHr680qXUVLjwxvz5ZnL.jpeg.jpg,
함덕/구좌,델문도,제주 제주시 조천읍 조함해안로 519-10,064-702-0007,"매일 07:00 - 24:00
라스트오더 23:50","아메리카노 7,000",가능,카페,,탁 트인 바다뷰가 인상적인 베이커리 맛집 카페,https://naver.me/FzHmHGwH,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160826_163%2F1472178646647JxGxw_JPEG%2F176776516063874_2.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160826_279%2F14721786477892Ambl_JPEG%2F176776516063874_13.jpeg,
함덕/구좌,오드랑베이커리,제주 제주시 조천읍 조함해안로 552-3,064-784-5404,매일 07:00 - 22:00,"6,800",가능,카페,,빵지순례 필수인 마농바게트가 맛있는 베이커리집,https://naver.me/GY2TpsDu,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_279%2F1648642100988VUJmi_JPEG%2F1648641357053.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180305_26%2F1520231619675oOAMR_PNG%2FxGaNf71X--q7uhqZA9XwUrsU.pngg,
우도,블랑로쉐,제주 제주시 우도면 연평리 712-1,0507-1398-9154,매일 11:00 - 17:00,"아메리카노 6,500",가능,카페,,고소한 땅콩 아이스크림을 꼭 먹어줘야하는 카페,https://naver.me/xw692gtP,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220429_44%2F1651241940663PxsnB_JPEG%2F1650856858412-12.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210615_38%2F1623744211091GFPzb_JPEG%2FCHhrnq60kA_O1nOacCtMD9hw.jpg,
