area,name,address,phoneNumber,businessHours,classification,note,price,subTitle,naverlink,url1,url2,
제주시,캐니언파크 제주,제주 제주시 삼무로 51,064-711-1145,12:00 ~ 19:00 (화요일 휴무),동물원,,"36개월 이하
무료
주중입장권(인터넷 예매가 기준)
12,000원
주말입장권(인터넷 예매가 기준,공휴일 포함)
14,000원
주중 나이트사파리(17시 이후)
7,500원
주말 나이트사파리(17시 이후, 공휴일 포함)
9,500원
주중 제주도민 입장권
10,000원
주말 제주도민 입장권(공휴일포함)
12,000원
정상가
19,000원",국내 최대 실내 동물원 테마파크,https://naver.me/GHEDEvbB,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210406_20%2F16176887687003yPlm_JPEG%2F3K4A6698.JPG,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210408_192%2F161784213377745rDq_JPEG%2F3K4A7892.JPG,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210406_37%2F1617688768784KW8uL_JPEG%2F3K4A6690.JPG
제주시,용두암,제주 제주시 용두암길 15,-,-,자연명소,,,"용이 승천하려다 뜻을 이루지 못했다는 전설을 담고 있는 곳
",https://naver.me/G5rQIRlt,https://api.cdn.visitjeju.net/photomng/imgpath/201907/29/5d2ec95d-08e8-4086-8e1e-0885047c154f.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1ba2e146-ef7a-4281-b27a-2a474b5705d4.jpg,
한라산지구,한라산국립공원,제주 제주시 오라이동 산107-20,064-713-9950,계절과 기후변화에 따른 입산 통제구간은 홈페이지 참고,,,,한반도 3대 영산 중 하나로 유네스코가 지정한 세계자연유산,https://www.jeju.go.kr/hallasan/index.htm,https://api.cdn.visitjeju.net/photomng/imgpath/201911/29/48bdb99e-20ba-4fb6-82f2-6ea79ceefb0d.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201911/29/38c3b25a-1fee-4d35-9672-59c4323708de.jpg,
함덕/구좌,함덕해수욕장,제주 제주시 조천읍 조함해안로 525,064-728-3989,해수욕장 개장기간 변동,바다,,,에매랄드처럼 빛나는 '한국의 몰디브',https://naver.me/Fa3SVxwH,https://api.cdn.visitjeju.net/photomng/imgpath/201908/29/a78e956a-ef62-49e9-9ffe-a4f9560cd36a.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201908/29/6fa8ac92-91b1-4314-a05e-0c962f9ab2f8.jpg,
함덕/구좌,스누피가든,제주 제주시 구좌읍 금백조로 930,,"매일
하계 3월 - 9월        09:00 - 19:00
동계 10월 -2월        09:00 - 18:00","관람,체험",,"성인 18,000원
청소년 15,000원
소인 12,000원",피너츠의 다양한 에피소드를 자연에서 만날 수 있는 곳,https://naver.me/x0ahaGWB,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220118_264%2F1642476506018KuN3I_JPEG%2FKD5A9785.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200806_235%2F159668728679214T8g_JPEG%2FIMG_1429.jpg,
서귀포/중문,약천사,제주 서귀포시 이어도로 293-28,064-738-5000,,불교,,,동양 최대 규모의 대적광전이 있는 곳,https://naver.me/xaPg4dnm,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200302_272%2F1583142327108IqH1c_JPEG%2Fod9A9EL7DXlPOFMZSi-Qh4b1.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201908/08/fdc93ba4-37e6-4e23-9bd7-a954c8e03dc2.jpg,
서귀포/중문,표선해수욕장,제주 서귀포시 표선면 표선리,064-760-4992,,바다,,,원형의 백사장이 있는 야영에 적합한 해수욕장,https://naver.me/IMQnuToy,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_7%2F1575818261744kr5dH_JPEG%2FZ8OaTXbNE9M-Ey_avosZdZYF.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/a4fc697c-102e-49b4-859d-4f85c9127105.jpgg,
성산,성산일출봉,제주 서귀포시 성산읍 성산리 1,064-783-0959,"매일 07:00 - 20:00 3~9월 / 매월 첫째 월요일 휴관
매일 07:30 - 19:00 10~2월 / 매월 첫째 월요일 휴관",오름,,,바다 위에 우뚝 솟아난 수성 화산,https://naver.me/GEAuu260,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/f839045d-a0e5-4f28-a980-c29b57406d4a.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201810/17/41209f96-3700-4de3-8545-347a602229e2.jpg,
함덕/구좌,비자림,제주 제주시 구좌읍 비자숲길 55,064-710-7912,"매일
09:00 - 18:00
- 입장마감시간 17시
접기",휴양림,,"일반: 3.000원 어린이.청소년: 1,500원",천년의 숲에서 산림욕을,https://naver.me/xL1EENFZ,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_115%2F1441015829482aatdh_JPEG%2F116963507552852_0.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202002/26/4678b8b4-ad98-416e-94d8-14a75d5332d7.jpg,
제주시,사려니숲,제주 제주시 조천읍 교래리 산137-1,064-900-8800,"매일
09:00 - 17:00
",휴양림,,,삼나무 향기에 취하며 걷는 아름답고 청정한 숲길,https://www.visitjeju.net/u/8YS,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_187%2F1548746123615dDsVG_JPEG%2F150148464193684.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201908/19/4a7384f3-3ea5-4b56-a519-20cd569686b1.jpg,
제주시,김녕해수욕장,제주 제주시 구좌읍 김녕리,064-728-3988,해수욕장 개장 기간 상이(전화 문의),바다,,,코발트빛 바다 색이 아름다운 해수욕장,https://naver.me/FlJxIMHT,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200717_52%2F1594981648799Rr1pm_JPEG%2F6NRjticE7kdln42brKvLitO0.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9052cc74-1186-45ab-ba71-9f9e6c8debaf.jpg,
서귀포/중문,쇠소깍,제주 서귀포시 쇠소깍로 104,064-732-9998,"매일 09:00 - 18:00 하절기
매일 09:00 - 17:00 동절기","하천, 테마파크(수상자전거)",,"테우 성인
8,000원
테우 소인
5,000원
전통조각배 성인
20,000원
전통조각배 성인2인+소인 1인
25,000원",짙회색의 기암괴석을 감상하며 전통 조각배를 탈 수 있는 곳,https://naver.me/GDc5QpIX,https://api.cdn.visitjeju.net/photomng/imgpath/201807/12/2a73a721-cd77-41aa-9efc-b061c55bca90.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/998f6d3a-a7a4-4e40-805d-c47126f778ce.JPG,
서귀포/중문,정방폭포,제주 서귀포시 칠십리로214번길 37,064-733-1530,매일09:00 - 17:40,자연명소,,"어른(개인) 2,000원
군인 (하사이하) 1,000원
어린이 아동 (7~12세) 1,000원
청소년 (13~24세) 1,000원
",햇빛에 비춰진 은하수 빛깔이 아름다운 제주도 3대 폭포,https://naver.me/xhHnH3v4,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/b77e1b21-7e4c-407f-9fa7-6d0a08ab250f.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/3378d11f-d97a-46df-b7f0-fdfbe333c850.jpg,
서귀포/중문,산방산 탄천온천,제주 서귀포시 안덕면 사계북로41번길 192,064-792-8300,"매일
실내온천 06:00 - 23:00
찜질방(불가마) 06:00 - 22:00
야외노천탕 10:00 - 22:00",온천,,"대인 13,000원
소인 6,000원
도민성인 9,000원
도민소인 6,000원
야외노천탕 5,000원
찜질방 2,000원",산방산과 단산을 한눈에 감상할 수 있는 온천,https://naver.me/5aVtq67y,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210203_141%2F1612338975441NTafE_JPEG%2F6yjl7nKbwboF7jkifvsDFAUQ.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210203_205%2F1612338723973NQy6w_JPEG%2F5bHrS23eZgVuQ0_nd_i3rHxp.jpg,
제주시,제주라프,제주 제주시 조천읍 선교로 115-1,064-784-9030,"매일 09:00 - 18:00
휴게시간 12:00 - 13:00
라스트오더 17:30 
입장마감 마감 30분전",액티비티,,"라플라이(LAFLY) 소인
35,000원
라풋(LAFOOT) 대인
12,000원
라풋(LAFOOT) 소인
12,000원
라플라이+라풋(대인)
47,000원
라플라이+라풋(소인)
47,000원",숲과 나무 사이를 나는 것 같은 짚라인 체험,https://naver.me/FOvhKXAR,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200706_231%2F1594019497451122z9_JPEG%2FekCobidtGua11w5dfB6mn36D.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202109/24/da02d6fd-c002-4b03-b3a9-f194e7cc64fd.jpg,
서귀포/중문,송악산,제주 서귀포시 대정읍 송악관광로 421-1,064-120,-,자연명소,,무료,전망이 끝내주는 올레길 10 코스 중 하나,https://naver.me/Fn2i9wLL,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_43%2F1440992271806lHksV_JPEG%2F156281545048919_7.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_112%2F1582912565442MEmUv_JPEG%2FXRNhxZcFMA2DXsokzcW1__uk.jpg,
제주시,절물자연휴양림,제주 제주시 명림로 584,064-728-1510,매일 7:00 - 18:00,자연명소,,"일반: 1,000원
청소년: 600원
어린이: 300원",빽빽한 삼나무 아래 여름에도 시원한 공기를 느낄 수 있는 휴양림,https://naver.me/57w8su5W,https://image.foresttrip.go.kr/frip/e1ac31d7-00cc-4736-97c6-56a71981b13d.jpg,https://image.foresttrip.go.kr/frip/9922e039-a4d9-4863-81b5-94c58897c017.jpg,
서귀포/중문,천지연 폭포,제주 서귀포시 천지동 667-7,064-733-1528,"매일 09:00 - 22:00 
입장마감: 21:20",자연명소,,"일반: 2,000원
청소년,군경: 1,000원
어린이: 1,000원",낮과 밤 모두 아름다운 하늘과 땅이 만나서 이룬 연못,https://naver.me/5WcBiE4U,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_251%2F15829102340336Yf78_JPEG%2Fk6SdZ3pdP0xc4uLwuB3n0ZGu.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201907/11/76cefa85-0b5c-48b3-be2f-6275a8f71513.jpg,
서귀포/중문,1100고지,제주 서귀포시 1100로 1555,064-747-1105,매일 08:30 - 19:00,자연명소,,무료,겨울에 더 아름다운 한라산을 감상할 수 있는 뷰포인트,https://naver.me/x8liCrGc,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_196%2F1582910389285MnWt1_JPEG%2FtxjwEHICkeyjlk6IY58rlRvs.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202111/15/75f53a19-2050-4dc4-b530-cdfd1137f2e0.jpg,
서귀포/중문,황우지해안,제주특별자치도 서귀포시 서홍동 766-1,064-760-4601,-,바다, ,무료,스노쿨링이 가능한 에메랄드빛 자연형성 풀장,https://www.visitjeju.net/u/8aa,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/d074ef1f-fb02-4568-a8b4-1fb7bd5594db.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/53e7dfa5-793c-461b-87d4-76e7c2dae029.jpg,
서귀포/중문,용머리해안,제주 서귀포시 안덕면 사계리 112-3,064-760-6321,매일 10:00 - 17:00,바다,,"어른: 2,000원
청소년: 1,000원 
노인 및 장애인: 무료
※ 관람 당일 미리 전화 확인 (064-794-2940)",파도에 깎인 사암층 암벽이 장관인 용머리해안,https://naver.me/GmFVV11C,https://api.cdn.visitjeju.net/photomng/imgpath/201908/19/ff1a7ed5-0c74-46ab-9e15-c7ba12f4e7ad.jpgg,https://api.cdn.visitjeju.net/photomng/imgpath/201908/19/52d55de6-5c25-4cd7-8b6f-3c77bcd204b6.jpg,
서귀포/중문,섭지코지,제주 서귀포시 성산읍 고성리,064-782-2810,매일 00:00 ~ 00:00,자연명소,,"입장료 무료 
주차료 하루 최대 3,000원",봄에 유채꽃밭과 성산일출봉을 한눈에 감상할 수 있는 곳,https://naver.me/58HFOdie,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/96717615-a171-4278-9983-bc38dc533108.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/cecaa16d-a3a7-4060-8634-e2ef138784d2.jpg,
서귀포/중문,제주다원 녹차미로공원,제주 서귀포시 산록남로 1258,064-738-4433,매일 09:00 - 19:00,테마파크,,"성인 7,000원
청소년 6,000원
어린이 5,000원
경노 5,000원
도민 5,000원",한라산 해발 500m에서 차 한잔과 함께 바라보는 녹차 밭,https://naver.me/GZ0UThHM,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160616_32%2F1466050307485mSDjq_JPEG%2F176566534165305_7.jpeg,https://api.cdn.visitjeju.net/photomng/imgpath/202111/18/8ff45c52-eaed-4b08-9ab8-2c25c05fd6d0.jpg,
애월,화조원,제주 제주시 애월읍 애원로 804,0507-1388-9988,매일 09:00 - 18:00,테마파크,,"어린이(36개월~만12세): 14,000원
노인우대(65세이상): 14,000원
대인(만19세~64세): 18,000원
청소년(만13세~만18세): 16,000원
국가유공자: 10,000원",다양한 새들과 작은 동물들과 교감할 수 있는 공간,https://naver.me/5L3okexA,https://api.cdn.visitjeju.net/photomng/imgpath/201809/13/2c4c79eb-ed33-4c17-aa7c-0d680a8f4471.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201809/13/cb3c204d-9202-4216-976e-f767e719722c.jpg,
애월,테디베어사파리,제주 제주시 애월읍 평화로 2157-1,0507-1406-1120,"매일 08:30 - 18:00
입장 마감 17:00",테마파크,,"성인 10,500원
청소년 9,000원
어린이 8,000원
경로 4,500원",테디베어를 실물 크기로 제작해 직접 만지고 만들어보는 오픈형 체험 전시관,https://naver.me/IIqfZTa6,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220727_277%2F1658908650125STaWG_JPEG%2F176462533871051_3.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220727_195%2F1658908646978t4WSl_JPEG%2F176462533871051_10.jpeg,
애월,도치돌알파카목장,제주 제주시 애월읍 도치돌길 303 ,064-799-6690,"매일 10:00 - 18:00
입장마감: 17:00",테마파크,,"성인,청소년,어린이: 10,000
24개월 미만 유아: 무료
경로, 국가유공자, 장애인: 5,000",드넓은 초원 위 귀여운 알파카 친구들을 만날 수 있는 곳,https://naver.me/G7KDo4yX,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190809_166%2F1565330592226F1zGw_JPEG%2F%25C1%25A6%25C1%25D6%25B5%25B5%25BD%25BA%25B3%25C0-1030_1200.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190809_221%2F1565324655663PoTBu_JPEG%2F%25C1%25A6%25C1%25D6%25B5%25B5%25BD%25BA%25B3%25C0-1182_1.jpg,
애월,새별프렌즈,제주 제주시 애월읍 평화로 1529,0507-1474-2832,"매일 10:00 - 18:00
입장마감: 17:00",테마파크,,"일반 15,000원
제주도민 12,000원
경로/장애인/군인/유공자 12,000원",새별오름 앞 다양한 동물과 교감할 수 있는 체험형 동물원 ,https://naver.me/FOvhVAix,https://modo-phinf.pstatic.net/20220429_103/1651205831823nA7dN_JPEG/mosaaYszzS.jpeg?type=f353_235,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220722_44%2F1658454665621SNwm4_JPEG%2F7G5A7562.jpg,
애월,제주양떼목장,제주 제주시 애월읍 도치돌길 289-13,064-799-7346,"매주 월요일 휴무 
화~일 10:00 - 18:00",테마파크,,"성인: 5,000원
청소년: 4,000원
소인: 4,000원","양떼 목장 체험, 산양유 목장 카페, 통나무 원목 펜션 모두 누릴 수 있는 곳",https://naver.me/GPrF6aZT,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_278%2F1441076186926DtUTp_JPEG%2F136257463169972_0.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190220_124%2F1550620935430aMH39_JPEG%2Fbanner2.jpg,
애월,도시해녀,제주 제주시 애월읍 하귀미수포길 16-1,010-2313-7412,"매일 09:00 - 15:00
9시 11시 13시 15시 하루 4번의 체험이 진행",체험,,"해녀체험(14세이상이용가능): 48,000",1일 해녀 체험으로 잡은 해산물로 라면까지 즐길 수 있는 곳,https://naver.me/FyexOQ85,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210315_67%2F1615780015573Rg5kN_JPEG%2FAq95cCqxMLNIvlhhxjFyghE0.JPG.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180703_153%2F1530592752093RUMwd_JPEG%2FP6220110.JPG,
애월,토토아뜰리에,제주 제주시 애월읍 고성북길 112,064-745-7676,"매주 월요일 휴무 
화~일 10:00 - 18:00
12:20 - 13:00 휴게시간",체험,,"[11세~대인] 제주고사리&한치파스타
27,000원
[11세~대인] 제주바질토마토라비올리
27,000원
[10세~대인] 제주전복게우간장덮밥
27,000원
[10세~대인] 제주당근파운드케이크
26,000원
[10세~대인] 제주귤머랭파이
27,000원",제주 로컬 푸드로 직접 요리해보는 원데이 쿠킹클래스,https://naver.me/FjojlVZR,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190630_76%2F1561899179054gsahy_JPEG%2FinHqya0aw9PrDjWTJjC7kjYu.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190630_131%2F1561899023507N034T_JPEG%2F0upWuQXr9FTVFDWRroi53eeI.JPG.jpg,
애월,제주불빛정원,제주 제주시 애월읍 평화로 2346,0507-1416-6996,"매일 17:00 - 24:00 
매표 마감 23:00",테마파크,,"성인 12,000원
청소년 10,000원
소인 8,000원
제주도민 8,000원
장애인 8,000원",365일 매일 밤 아름다운 불빛을 감상할 수 있는 곳 ,https://naver.me/GpJefu5X,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190311_279%2F1552285650032exCPN_JPEG%2F%25C1%25A6%25C1%25D6%25BA%25D2%25BA%25FB%25C1%25A4%25BF%25F8_%25BF%25C0%25C7%25C2%25B8%25B6%25C4%25CF%25B9%25E8%25B3%25CA2.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190311_28%2F15522856480275M677_JPEG%2F%25C1%25A6%25C1%25D6%25BA%25D2%25BA%25FB%25C1%25A4%25BF%25F8_%25BF%25C0%25C7%25C2%25B8%25B6%25C4%25CF%25B9%25E8%25B3%25CA7.jpg,
